Micro sd 4gb,150 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/micro_sd_4gb_1169544735
Флешка 64Гб JetFlash 500,700 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_64gb_jetflash_500_1167632319
Флешка 128 MB Easy Disk,400 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_128_mb_easy_disk_872524777
Флешка,200 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_642923352
Карта памяти Leef PRO microsdxc 64Gb UHS1 + адапте,1 200 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_leef_pro_microsdxc_64gb_uhs1_adapte_893685888
"Карты памяти ""Sony"" M2",50 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/karty_pamyati_sony_m2_533693837
Флешка,200 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_1047409024
"Мерседес, Тайота -флешки",900 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/mersedes_tayota_-fleshki_873026770
"Адаптер MicroSD - MS Pro Duo (PSP, камеры Sony)",270 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/adapter_microsd_-_ms_pro_duo_psp_kamery_sony_728140419
USB флеш-накопитель Smartbuy Quartz 32 Gb,650 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh-nakopitel_smartbuy_quartz_32_gb_1162144702
Флеш-накопитель 8Gb SmartBuy USB 2.0,499 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/flesh-nakopitel_8gb_smartbuy_usb_2.0_310926280
Флешка 16 Гб,400 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_16_gb_822515876
